Bill.Doc.,Item,S,Created,BillT,Net Value,Curr.,SOrg.,DChl,DstC,SDst,CGrp,Payer,Name of the payer,Address,Material,Description,Prod.hier.,Plnt,Batch,  Bill.qty,SU,S,Descript.,BlCat,Bill. Date,DocCa
RB15953385,52,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CG8005,0,KG,,Posted in FI,L,17.07.2018,M
RB15953063,10,,RB_TW070,ZF2,"79,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CE8004,"1,000.00",KG,,Posted in FI,L,10.07.2018,M
RB15953063,20,,RB_TW070,ZF2,"78,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CF8028,"1,000.00",KG,,Posted in FI,L,10.07.2018,M
RB15953063,31,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CF8011,0,KG,,Posted in FI,L,10.07.2018,M
RB15953063,32,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CF8012,0,KG,,Posted in FI,L,10.07.2018,M
RB15953063,40,,RB_TW070,ZF2,"135,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR2865EH-DR000200,U-VAN 28-65EHT,,RB11,CD8001,"1,000.00",KG,,Posted in FI,L,10.07.2018,M
RB15953063,50,,RB_TW070,ZF2,"57,600.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CF8005,600,KG,,Posted in FI,L,10.07.2018,M
RB15952901,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CF8011,0,KG,,Posted in FI,L,05.07.2018,M
RB15952901,21,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CF8004,0,KG,,Posted in FI,L,05.07.2018,M
RB15952900,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CF8028,0,KG,,Posted in FI,L,05.07.2018,M
RB15952900,21,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CF8011,0,KG,,Posted in FI,L,05.07.2018,M
RB15952900,31,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CF8005,0,KG,,Posted in FI,L,05.07.2018,M
RB15952900,40,,RB_TW070,ZF2,"129,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CF8004,"1,000.00",KG,,Posted in FI,L,05.07.2018,M
RB15952382,10,,RB_TW070,ZF2,"79,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CE8004,"1,000.00",KG,,Posted in FI,L,21.06.2018,M
RB15952382,20,,RB_TW070,ZF2,"78,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CE8024,"1,000.00",KG,,Posted in FI,L,21.06.2018,M
RB15952382,30,,RB_TW070,ZF2,"73,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CF8011,"1,000.00",KG,,Posted in FI,L,21.06.2018,M
RB15952145,10,,RB_TW070,ZF2,"246,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR225000-DR000200,U-VAN 225,,RB11,CE8004,"3,000.00",KG,,Posted in FI,L,14.06.2018,M
RB15952145,20,,RB_TW070,ZF2,"96,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CE8004,"1,000.00",KG,,Posted in FI,L,14.06.2018,M
RB15952104,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CE8004,0,KG,,Posted in FI,L,13.06.2018,M
RB15952104,21,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CF8004,0,KG,,Posted in FI,L,13.06.2018,M
RB15951989,11,,RB_SW027,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CE8022,0,KG,,Posted in FI,L,11.06.2018,M
RB15951989,12,,RB_SW027,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CE8023,0,KG,,Posted in FI,L,11.06.2018,M
RB15951989,21,,RB_SW027,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CE8010,0,KG,,Posted in FI,L,11.06.2018,M
RB15951989,31,,RB_SW027,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CD8003,0,KG,,Posted in FI,L,11.06.2018,M
RB15951989,32,,RB_SW027,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CF8004,0,KG,,Posted in FI,L,11.06.2018,M
RB15951786,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CD8003,0,KG,,Posted in FI,L,05.06.2018,M
RB15951786,21,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CE8021,0,KG,,Posted in FI,L,05.06.2018,M
RB15951786,22,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CE8022,0,KG,,Posted in FI,L,05.06.2018,M
RB15951786,31,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CD8003,0,KG,,Posted in FI,L,05.06.2018,M
RB15951785,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CD8009,0,KG,,Posted in FI,L,05.06.2018,M
RB15951441,10,,RB_SW027,ZF2,"78,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CD8020,"1,000.00",KG,,Posted in FI,L,25.05.2018,M
RB15951302,10,,RB_TW070,ZF2,"78,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CD8020,"1,000.00",KG,,Posted in FI,L,22.05.2018,M
RB15951302,20,,RB_TW070,ZF2,"105,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR48B000-DR000200,U-VAN 48B,,RB11,CD8021,"1,400.00",KG,,Posted in FI,L,22.05.2018,M
RB15951302,30,,RB_TW070,ZF2,"146,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CD8009,"2,000.00",KG,,Posted in FI,L,22.05.2018,M
RB15951302,40,,RB_TW070,ZF2,"180,600.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CD8003,"1,400.00",KG,,Posted in FI,L,22.05.2018,M
RB15951104,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR225000-DR000200,U-VAN 225,,RB11,CD8003,0,KG,,Posted in FI,L,16.05.2018,M
RB15951104,12,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR225000-DR000200,U-VAN 225,,RB11,CE8004,0,KG,,Posted in FI,L,16.05.2018,M
RB15951104,21,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CD8019,0,KG,,Posted in FI,L,16.05.2018,M
RB15951104,31,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CD8008,0,KG,,Posted in FI,L,16.05.2018,M
RB15951104,32,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CD8009,0,KG,,Posted in FI,L,16.05.2018,M
RB15951104,41,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CD8003,0,KG,,Posted in FI,L,16.05.2018,M
RB15951104,51,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CD8003,0,KG,,Posted in FI,L,16.05.2018,M
RB15950743,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CD8003,0,KG,,Posted in FI,L,08.05.2018,M
RB15950743,21,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CD8018,0,KG,,Posted in FI,L,08.05.2018,M
RB15950743,22,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CD8019,0,KG,,Posted in FI,L,08.05.2018,M
RB15950743,30,,RB_TW070,ZF2,"105,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR48B000-DR000200,U-VAN 48B,,RB11,CD8020,"1,400.00",KG,,Posted in FI,L,08.05.2018,M
RB15950743,41,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CD8008,0,KG,,Posted in FI,L,08.05.2018,M
RB15950743,51,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CD8003,0,KG,,Posted in FI,L,08.05.2018,M
