Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC8002,10-03-18,10-03-19,11-03-18,40000045467,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC8002,10-03-18,10-03-19,11-03-18,40000045467,Non Volatile Content,65.2,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC8002,10-03-18,10-03-19,11-03-18,40000045467,Viscosity,A089,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD8003,04-04-18,04-04-19,05-04-18,40000046672,Acid Value,8.8,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD8003,04-04-18,04-04-19,05-04-18,40000046672,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD8003,04-04-18,04-04-19,05-04-18,40000046672,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD8003,04-04-18,04-04-19,05-04-18,40000046672,Non Volatile Content,64.9,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD8003,04-04-18,04-04-19,05-04-18,40000046672,Viscosity,A091,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF8004,04-06-18,04-06-19,05-06-18,40000048934,Acid Value,9.0,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF8004,04-06-18,04-06-19,05-06-18,40000048934,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF8004,04-06-18,04-06-19,05-06-18,40000048934,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF8004,04-06-18,04-06-19,05-06-18,40000048934,Non Volatile Content,64.6,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF8004,04-06-18,04-06-19,05-06-18,40000048934,Viscosity,A085,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CG8005,01-07-18,01-07-19,05-07-18,40000050342,Acid Value,9.0,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CG8005,01-07-18,01-07-19,05-07-18,40000050342,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CG8005,01-07-18,01-07-19,05-07-18,40000050342,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CG8005,01-07-18,01-07-19,05-07-18,40000050342,Non Volatile Content,66.0,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CG8005,01-07-18,01-07-19,05-07-18,40000050342,Viscosity,A090,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CH8006,09-08-18,09-08-19,11-08-18,40000051533,Acid Value,8.6,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CH8006,09-08-18,09-08-19,11-08-18,40000051533,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CH8006,09-08-18,09-08-19,11-08-18,40000051533,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CH8006,09-08-18,09-08-19,11-08-18,40000051533,Non Volatile Content,65.3,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CH8006,09-08-18,09-08-19,11-08-18,40000051533,Viscosity,A080,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CJ8007,09-09-18,09-09-19,09-09-18,40000052532,Acid Value,9.2,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CJ8007,09-09-18,09-09-19,09-09-18,40000052532,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CJ8007,09-09-18,09-09-19,09-09-18,40000052532,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CJ8007,09-09-18,09-09-19,09-09-18,40000052532,Non Volatile Content,64.4,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CJ8007,09-09-18,09-09-19,09-09-18,40000052532,Viscosity,A091,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CK8008,07-10-18,07-10-19,08-10-18,40000053507,Acid Value,9.0,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CK8008,07-10-18,07-10-19,08-10-18,40000053507,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CK8008,07-10-18,07-10-19,08-10-18,40000053507,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CK8008,07-10-18,07-10-19,08-10-18,40000053507,Non Volatile Content,63.8,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CK8008,07-10-18,07-10-19,08-10-18,40000053507,Viscosity,A084,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CL8009,11-11-18,11-11-19,12-11-18,40000054594,Acid Value,9.7,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CL8009,11-11-18,11-11-19,12-11-18,40000054594,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CL8009,11-11-18,11-11-19,12-11-18,40000054594,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CL8009,11-11-18,11-11-19,12-11-18,40000054594,Non Volatile Content,64.4,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CL8009,11-11-18,11-11-19,12-11-18,40000054594,Viscosity,A084,,,JIS K5400
ENFB34100-DR000200,ALMATEX B341,RB11,D,CA7001,09-01-17,09-01-18,06-08-18,890000005120,Acid Value,11.5,10.0,14.0,JIS K5407
ENFB34100-DR000200,ALMATEX B341,RB11,D,CA7001,09-01-17,09-01-18,06-08-18,890000005120,Appearance,A012,,,Visual Check
ENFB34100-DR000200,ALMATEX B341,RB11,D,CA7001,09-01-17,09-01-18,06-08-18,890000005120,Color,1,-999,3,JIS K5400
ENFB34100-DR000200,ALMATEX B341,RB11,D,CA7001,09-01-17,09-01-18,06-08-18,890000005120,Non Volatile Content,63.9,63.5,66.5,JIS K5407
ENFB34100-DR000200,ALMATEX B341,RB11,D,CA7001,09-01-17,09-01-18,06-08-18,890000005120,Viscosity,A111,,,JIS K5400
