Customer,Customer Name,Agent PO,Invoice No,Invoice Date,PIC Name,period year,Due Date,Rate,Currency,Local Currency Amount,Document Currency code,Document Currency Amount,Document Currency Current,Document Currency 1-30 Days,Document Currency 31-60 Days,Document Currency 61-90 Days,Local Currency Over 90 Days,Sales Document,Trading Partner,Customer Group
BG00012982,บริษัท นิปปอนเพนต์ (ประเทศไทย),2210080704,RB15966182,2019-08-13,MR. SONGTHAM C.,08/2019,2019-12-11,1.00000,THB,"38,134.80",THB,"38,134.80","38,134.80",0.00,0.00,0.00,0.00,1000198658,,RB1
BG00012071,บริษัท พี.ไมตี้เทค จำกัด,'-,RB15966183,2019-08-13,MS. SUTINA CHONLACHIT,08/2019,2019-12-11,1.00000,THB,"40,125.00",THB,"40,125.00","40,125.00",0.00,0.00,0.00,0.00,1000198596,,RB1
BG00016644,บริษัท ยูบิส (เอเชีย) จำกัด (ม,APO-11908010,RB15966184,2019-08-13,Sathitpong Khongwanglam,08/2019,2019-11-11,1.00000,THB,"248,240.00",THB,"248,240.00","248,240.00",0.00,0.00,0.00,0.00,1000198036,,
BG00013067,บริษัท เท็กซ์ไทล์เพรสทีจ จำกัด,1400133412(AM)TPC6,RB15966185,2019-08-13,MS. SUTINA CHONLACHIT,08/2019,2019-11-11,1.00000,THB,"125,511.00",THB,"125,511.00","125,511.00",0.00,0.00,0.00,0.00,1000197756,,RB1
BG00013067,บริษัท เท็กซ์ไทล์เพรสทีจ จำกัด,1400133410(AM)TPC2,RB15966186,2019-08-13,MS. SUTINA CHONLACHIT,08/2019,2019-11-11,1.00000,THB,"217,210.00",THB,"217,210.00","217,210.00",0.00,0.00,0.00,0.00,1000197754,,RB1
BG00012075,บริษัท ไทย โชวะ แพ็กซ์ จำกัด,PO-0719-RM-189,RB15966187,2019-08-13,MR. PRAMOTE R.,08/2019,2019-10-12,1.00000,THB,"143,380.00",THB,"143,380.00","143,380.00",0.00,0.00,0.00,0.00,1000195980,,RB1
BG00012983,บริษัท นิปปอนเพนต์ เดคโคเรทีฟ,2110041055,RB15966188,2019-08-13,MS. KULASAB,08/2019,2019-12-11,1.00000,THB,"259,475.00",THB,"259,475.00","259,475.00",0.00,0.00,0.00,0.00,1000191778,,RB1
BG00013084,บริษัท ไทยดีเอนทีเพนท์ จำกัด,4000008725,RB15966189,2019-08-13,NITIPAT  JAIMONKONG,08/2019,2019-12-11,1.00000,THB,"186,180.00",THB,"186,180.00","186,180.00",0.00,0.00,0.00,0.00,1000198865,,RB1
BG00013084,บริษัท ไทยดีเอนทีเพนท์ จำกัด,4000008724,RB15966190,2019-08-13,NITIPAT  JAIMONKONG,08/2019,2019-12-11,1.00000,THB,"315,650.00",THB,"315,650.00","315,650.00",0.00,0.00,0.00,0.00,1000198864,,RB1
BG00013487,บริษัท เอ็กซตร้า เทค จำกัด,PO6208029,RB15966191,2019-08-13,MS. KULASAB,08/2019,2019-10-12,1.00000,THB,"48,150.00",THB,"48,150.00","48,150.00",0.00,0.00,0.00,0.00,1000198720,,
BG00014019,บริษัท เอส เค ออโต้ อินทีเรีย,19L19610,RB15966192,2019-08-13,MR. KEAITTICHAI  A.,08/2019,2019-09-30,1.00000,THB,"143,949.24",THB,"143,949.24","143,949.24",0.00,0.00,0.00,0.00,1000198845,,RB1
BG00013990,บริษัท ไทยโตชิบาอุตสาหกรรม จำก,2201912029,RB15966193,2019-08-13,MR.PHASAKORN C.,08/2019,2019-10-12,1.00000,THB,"149,134.29",THB,"149,134.29","149,134.29",0.00,0.00,0.00,0.00,1000196646,,RB1
BG00013990,บริษัท ไทยโตชิบาอุตสาหกรรม จำก,2201912010,RB15966194,2019-08-13,MR.PHASAKORN C.,08/2019,2019-10-12,1.00000,THB,"447,402.87",THB,"447,402.87","447,402.87",0.00,0.00,0.00,0.00,1000196639,,RB1
BG00013988,บริษัท ซันสตาร์ เคมีคัล,PC201907064,RB15966195,2019-08-13,MS. AUSANEE  S.,08/2019,2019-11-11,1.00000,THB,"183,278.16",THB,"183,278.16","183,278.16",0.00,0.00,0.00,0.00,1000197692,,RB1
BG00013572,บริษัท อะเดียเวนซา นิวเวิลด์,PO-201901416,RB15966196,2019-08-13,MR. WICHANCHAI  S.,08/2019,2019-09-12,1.00000,THB,"102,399.00",THB,"102,399.00","102,399.00",0.00,0.00,0.00,0.00,1000198856,,RB1
BG00013780,บริษัท โตโยอิ๊งค์ (ประเทศไทย),6000059640,RB15966197,2019-08-13,MS. AUSANEE  S.,08/2019,2019-11-11,1.00000,THB,"294,250.00",THB,"294,250.00","294,250.00",0.00,0.00,0.00,0.00,1000197900,,RB1
BG00012085,บริษัท วาบิกัส โกลบอล จำกัด,2019-08-266,RB15966198,2019-08-13,MR.PHASAKORN C.,08/2019,2019-10-27,1.00000,THB,"128,828.00",THB,"128,828.00","128,828.00",0.00,0.00,0.00,0.00,1000198814,,RB1
BG00012070,บริษัท นากาเซ่(ประเทศไทย) จำกั,460469189,RB15966199,2019-08-13,MR. WICHANCHAI  S.,08/2019,2019-11-11,1.00000,THB,"320,026.30",THB,"320,026.30","320,026.30",0.00,0.00,0.00,0.00,1000198711,,RB1
BG00012085,บริษัท วาบิกัส โกลบอล จำกัด,2019-08-269,RB15966200,2019-08-13,MR. KEAITTICHAI  A.,08/2019,2019-10-27,1.00000,THB,"30,623.40",THB,"30,623.40","30,623.40",0.00,0.00,0.00,0.00,1000198844,,RB1
BG00012070,บริษัท นากาเซ่(ประเทศไทย) จำกั,460469524,RB15966201,2019-08-13,MR. WICHANCHAI  S.,08/2019,2019-11-11,1.00000,THB,"191,568.09",THB,"191,568.09","191,568.09",0.00,0.00,0.00,0.00,1000198879,,RB1
BG00014016,บริษัท เอ็นเอชเค สปริง,89G24056,RB15966202,2019-08-13,MR. WICHANCHAI  S.,08/2019,2019-10-12,1.00000,THB,"432,476.88",THB,"432,476.88","432,476.88",0.00,0.00,0.00,0.00,1000198735,,RB1
BG00013067,บริษัท เท็กซ์ไทล์เพรสทีจ จำกัด,1400133452(IN)TPC2,RB15966203,2019-08-13,MS. SUTINA CHONLACHIT,08/2019,2019-11-11,1.00000,THB,"27,285.00",THB,"27,285.00","27,285.00",0.00,0.00,0.00,0.00,1000198523,,RB1
BG00013067,บริษัท เท็กซ์ไทล์เพรสทีจ จำกัด,1400133408(IN)TPC2,RB15966204,2019-08-13,MS. SUTINA CHONLACHIT,08/2019,2019-11-11,1.00000,THB,"45,475.00",THB,"45,475.00","45,475.00",0.00,0.00,0.00,0.00,1000198290,,RB1
BG00012082,ห้างหุ้นส่วนจำกัด ภูริทัต โปรด,'-,RB15966205,2019-08-13,URETHANE Dept.,08/2019,2019-08-13,1.00000,THB,"14,200.31",THB,"14,200.31",0.00,"14,200.31",0.00,0.00,0.00,1000198979,,
