Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK141218,14-12-18,14-03-19,14-12-18,10000036635,Color,2.1,0.0,10.0,Spectrophotometer
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK141218,14-12-18,14-03-19,14-12-18,10000036635,Refractive index,1.3973,1.39550,1.39750,25oC
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK141218,14-12-18,14-03-19,14-12-18,10000036635,Specific Gravity,0.80952,0.80800,0.81200,20oC
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK141218,14-12-18,14-03-19,14-12-18,10000036635,Water content,0.0550,-999.00000,0.10000,Karl Fishcher
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK171218,17-12-18,17-03-19,18-12-18,10000036684,Color,2.1,0.0,10.0,Spectrophotometer
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK171218,17-12-18,17-03-19,18-12-18,10000036684,Refractive index,1.3973,1.39550,1.39750,25oC
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK171218,17-12-18,17-03-19,18-12-18,10000036684,Specific Gravity,0.80956,0.80800,0.81200,20oC
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK171218,17-12-18,17-03-19,18-12-18,10000036684,Water content,0.0413,-999.00000,0.10000,Karl Fishcher
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK181218,18-12-18,18-03-19,19-12-18,10000036742,Color,1.9,0.0,10.0,Spectrophotometer
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK181218,18-12-18,18-03-19,19-12-18,10000036742,Refractive index,1.3974,1.39550,1.39750,25oC
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK181218,18-12-18,18-03-19,19-12-18,10000036742,Specific Gravity,0.80953,0.80800,0.81200,20oC
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK181218,18-12-18,18-03-19,19-12-18,10000036742,Water content,0.0394,-999.00000,0.10000,Karl Fishcher
30005-I-BUOH,iso-Butyl Alcohol (I-BuOH),RB11,A,TANK041218,04-12-18,04-03-19,10-12-18,10000036345,Color,2.6,0.0,10.0,Spectrophotometer
30005-I-BUOH,iso-Butyl Alcohol (I-BuOH),RB11,A,TANK041218,04-12-18,04-03-19,10-12-18,10000036345,Refractive index,1.3939,1.39250,1.39450,25oC
30005-I-BUOH,iso-Butyl Alcohol (I-BuOH),RB11,A,TANK041218,04-12-18,04-03-19,10-12-18,10000036345,Specific Gravity,0.80176,0.80000,0.80400,20oC
30005-I-BUOH,iso-Butyl Alcohol (I-BuOH),RB11,A,TANK041218,04-12-18,04-03-19,10-12-18,10000036345,Water content,0.0451,-999.00000,0.10000,Karl Fishcher
30007-MSS 100,"Solvesso 100, Shellsol A100",RB11,A,TANK031218,03-12-18,01-06-19,03-12-18,10000036198,Color,2.8,0.0,20.0,Spectrophotometer
30007-MSS 100,"Solvesso 100, Shellsol A100",RB11,A,TANK031218,03-12-18,01-06-19,03-12-18,10000036198,Refractive index,1.4999,1.49700,1.50400,25oC
30007-MSS 100,"Solvesso 100, Shellsol A100",RB11,A,TANK031218,03-12-18,01-06-19,03-12-18,10000036198,Specific Gravity,0.87323,0.87000,0.88500,20oC
30007-MSS 100,"Solvesso 100, Shellsol A100",RB11,A,TANK031218,03-12-18,01-06-19,03-12-18,10000036198,Water content,0.0187,-999.00000,0.10000,Karl Fishcher
30007-MSS 100,"Solvesso 100, Shellsol A100",RB11,A,TANK121218,12-12-18,10-06-19,12-12-18,10000036534,Color,4.4,0.0,20.0,Spectrophotometer
30007-MSS 100,"Solvesso 100, Shellsol A100",RB11,A,TANK121218,12-12-18,10-06-19,12-12-18,10000036534,Refractive index,1.4997,1.49700,1.50400,25oC
30007-MSS 100,"Solvesso 100, Shellsol A100",RB11,A,TANK121218,12-12-18,10-06-19,12-12-18,10000036534,Specific Gravity,0.87290,0.87000,0.88500,20oC
30007-MSS 100,"Solvesso 100, Shellsol A100",RB11,A,TANK121218,12-12-18,10-06-19,12-12-18,10000036534,Water content,0.0271,-999.00000,0.10000,Karl Fishcher
30007-MSS 100,"Solvesso 100, Shellsol A100",RB11,A,TANK191218,19-12-18,17-06-19,19-12-18,10000036773,Color,3.4,0.0,20.0,Spectrophotometer
30007-MSS 100,"Solvesso 100, Shellsol A100",RB11,A,TANK191218,19-12-18,17-06-19,19-12-18,10000036773,Refractive index,1.4999,1.49700,1.50400,25oC
30007-MSS 100,"Solvesso 100, Shellsol A100",RB11,A,TANK191218,19-12-18,17-06-19,19-12-18,10000036773,Specific Gravity,0.87326,0.87000,0.88500,20oC
30007-MSS 100,"Solvesso 100, Shellsol A100",RB11,A,TANK191218,19-12-18,17-06-19,19-12-18,10000036773,Water content,0.0260,-999.00000,0.10000,Karl Fishcher
30009-N-BACE,n-Butyl Acetate (n-Bace),RB11,A,18110132,01-05-20,28-10-20,07-12-18,10000036292,Color,3.3,0.0,10.0,Spectrophotometer
30009-N-BACE,n-Butyl Acetate (n-Bace),RB11,A,18110132,01-05-20,28-10-20,07-12-18,10000036292,Refractive index,1.3919,1.39130,1.39230,25oC
30009-N-BACE,n-Butyl Acetate (n-Bace),RB11,A,18110132,01-05-20,28-10-20,07-12-18,10000036292,Specific Gravity,0.88120,0.87900,0.88300,20oC
30009-N-BACE,n-Butyl Acetate (n-Bace),RB11,A,18110132,01-05-20,28-10-20,07-12-18,10000036292,Water content,0.0253,-999.00000,0.07000,Karl Fishcher
30009-N-BACE,n-Butyl Acetate (n-Bace),RB11,A,BA112018,31-03-19,27-09-19,12-12-18,10000036548,Color,3.0,0.0,10.0,Spectrophotometer
30009-N-BACE,n-Butyl Acetate (n-Bace),RB11,A,BA112018,31-03-19,27-09-19,12-12-18,10000036549,Color,3.0,0.0,10.0,Spectrophotometer
30009-N-BACE,n-Butyl Acetate (n-Bace),RB11,A,BA112018,31-03-19,27-09-19,12-12-18,10000036548,Refractive index,1.3919,1.39130,1.39230,25oC
30009-N-BACE,n-Butyl Acetate (n-Bace),RB11,A,BA112018,31-03-19,27-09-19,12-12-18,10000036549,Refractive index,1.3919,1.39130,1.39230,25oC
30009-N-BACE,n-Butyl Acetate (n-Bace),RB11,A,BA112018,31-03-19,27-09-19,12-12-18,10000036548,Specific Gravity,0.88126,0.87900,0.88300,20oC
30009-N-BACE,n-Butyl Acetate (n-Bace),RB11,A,BA112018,31-03-19,27-09-19,12-12-18,10000036549,Specific Gravity,0.88126,0.87900,0.88300,20oC
30009-N-BACE,n-Butyl Acetate (n-Bace),RB11,A,BA112018,31-03-19,27-09-19,12-12-18,10000036548,Water content,0.0303,-999.00000,0.07000,Karl Fishcher
30009-N-BACE,n-Butyl Acetate (n-Bace),RB11,A,BA112018,31-03-19,27-09-19,12-12-18,10000036549,Water content,0.0303,-999.00000,0.07000,Karl Fishcher
30010-PMAC (PMA),DOWANOL PMA (PMAC),RB11,A,YY00I72ML1,11-01-20,09-07-20,12-12-18,10000036538,Color,7.1,0.0,20.0,Spectrophotometer
30010-PMAC (PMA),DOWANOL PMA (PMAC),RB11,A,YY00I72ML1,11-01-20,09-07-20,12-12-18,10000036538,Refractive index,1.3996,1.39850,1.40050,25oC
30010-PMAC (PMA),DOWANOL PMA (PMAC),RB11,A,YY00I72ML1,11-01-20,09-07-20,12-12-18,10000036538,Specific Gravity,0.96706,0.96500,0.96900,20oC
30010-PMAC (PMA),DOWANOL PMA (PMAC),RB11,A,YY00I72ML1,11-01-20,09-07-20,12-12-18,10000036538,Water content,0.0307,-999.00000,0.05000,Karl Fishcher
30010-PMAC (PMA),DOWANOL PMA (PMAC),RB11,A,YY00I9IML1,24-03-20,20-09-20,12-12-18,10000036537,Color,3.1,0.0,20.0,Spectrophotometer
30010-PMAC (PMA),DOWANOL PMA (PMAC),RB11,A,YY00I9IML1,24-03-20,20-09-20,12-12-18,10000036537,Refractive index,1.3996,1.39850,1.40050,25oC
30010-PMAC (PMA),DOWANOL PMA (PMAC),RB11,A,YY00I9IML1,24-03-20,20-09-20,12-12-18,10000036537,Specific Gravity,0.96707,0.96500,0.96900,20oC
30010-PMAC (PMA),DOWANOL PMA (PMAC),RB11,A,YY00I9IML1,24-03-20,20-09-20,12-12-18,10000036537,Water content,0.0314,-999.00000,0.05000,Karl Fishcher
30012-I-BACE,iso-Butyl Acetate (I-Bace),RB11,A,SC08180/18,12-03-20,10-07-20,03-12-18,10000036194,Color,2.4,0.0,15.0,Spectrophotometer
30012-I-BACE,iso-Butyl Acetate (I-Bace),RB11,A,SC08180/18,12-03-20,10-07-20,03-12-18,10000036196,Color,2.4,0.0,15.0,Spectrophotometer
30012-I-BACE,iso-Butyl Acetate (I-Bace),RB11,A,SC08180/18,12-03-20,10-07-20,03-12-18,10000036194,Refractive index,1.3877,1.38700,1.38800,25oC
30012-I-BACE,iso-Butyl Acetate (I-Bace),RB11,A,SC08180/18,12-03-20,10-07-20,03-12-18,10000036196,Refractive index,1.3877,1.38700,1.38800,25oC
30012-I-BACE,iso-Butyl Acetate (I-Bace),RB11,A,SC08180/18,12-03-20,10-07-20,03-12-18,10000036194,Specific Gravity,0.87137,0.86900,0.87300,20oC
30012-I-BACE,iso-Butyl Acetate (I-Bace),RB11,A,SC08180/18,12-03-20,10-07-20,03-12-18,10000036196,Specific Gravity,0.87137,0.86900,0.87300,20oC
30012-I-BACE,iso-Butyl Acetate (I-Bace),RB11,A,SC08180/18,12-03-20,10-07-20,03-12-18,10000036194,Water content,0.0164,-999.00000,0.05000,Karl Fishcher
30012-I-BACE,iso-Butyl Acetate (I-Bace),RB11,A,SC08180/18,12-03-20,10-07-20,03-12-18,10000036196,Water content,0.0164,-999.00000,0.05000,Karl Fishcher
30015-IPA,ISOPROPYL ALCOHOL (IPA),RB11,A,IPA122018,13-05-19,09-11-19,12-12-18,10000036550,Color,2.4,-999.0,9999.0,Spectrophotometer
30015-IPA,ISOPROPYL ALCOHOL (IPA),RB11,A,IPA122018,13-05-19,09-11-19,12-12-18,10000036550,Refractive index,1.3750,-999.00000,9999.00000,25oC
30015-IPA,ISOPROPYL ALCOHOL (IPA),RB11,A,IPA122018,13-05-19,09-11-19,12-12-18,10000036550,Specific Gravity,0.78511,-999.00000,9999.00000,20oC
30015-IPA,ISOPROPYL ALCOHOL (IPA),RB11,A,IPA122018,13-05-19,09-11-19,12-12-18,10000036550,Water content,0.0472,-999.00000,9999.00000,Karl Fishcher
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK031218,03-12-18,01-02-19,03-12-18,10000036202,Color,7.5,0.0,20.0,Spectrophotometer
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK031218,03-12-18,01-02-19,03-12-18,10000036202,Refractive index,1.5442,1.54350,1.54450,25oC
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK031218,03-12-18,01-02-19,03-12-18,10000036202,Specific Gravity,0.90621,0.90400,0.90800,20oC
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK031218,03-12-18,01-02-19,03-12-18,10000036202,Water content,0.0173,-999.00000,0.05000,Karl Fishcher
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK041218,04-12-18,02-02-19,06-12-18,10000036253,Color,7.7,0.0,20.0,Spectrophotometer
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK041218,04-12-18,02-02-19,06-12-18,10000036253,Refractive index,1.5442,1.54350,1.54450,25oC
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK041218,04-12-18,02-02-19,06-12-18,10000036253,Specific Gravity,0.90622,0.90400,0.90800,20oC
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK041218,04-12-18,02-02-19,06-12-18,10000036253,Water content,0.0212,-999.00000,0.05000,Karl Fishcher
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK061218,06-12-18,04-02-19,07-12-18,10000036296,Color,7.0,0.0,20.0,Spectrophotometer
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK061218,06-12-18,04-02-19,07-12-18,10000036296,Refractive index,1.5442,1.54350,1.54450,25oC
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK061218,06-12-18,04-02-19,07-12-18,10000036296,Specific Gravity,0.90623,0.90400,0.90800,20oC
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK061218,06-12-18,04-02-19,07-12-18,10000036296,Water content,0.0178,-999.00000,0.05000,Karl Fishcher
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK071218,07-12-18,05-02-19,10-12-18,10000036365,Color,5.7,0.0,20.0,Spectrophotometer
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK071218,07-12-18,05-02-19,10-12-18,10000036365,Refractive index,1.5442,1.54350,1.54450,25oC
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK071218,07-12-18,05-02-19,10-12-18,10000036365,Specific Gravity,0.90622,0.90400,0.90800,20oC
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK071218,07-12-18,05-02-19,10-12-18,10000036365,Water content,0.0255,-999.00000,0.05000,Karl Fishcher
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK131218,13-12-18,11-02-19,13-12-18,10000036605,Color,7.4,0.0,20.0,Spectrophotometer
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK131218,13-12-18,11-02-19,13-12-18,10000036605,Refractive index,1.5441,1.54350,1.54450,25oC
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK131218,13-12-18,11-02-19,13-12-18,10000036605,Specific Gravity,0.90617,0.90400,0.90800,20oC
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK131218,13-12-18,11-02-19,13-12-18,10000036605,Water content,0.0213,-999.00000,0.05000,Karl Fishcher
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK141218,14-12-18,12-02-19,14-12-18,10000036630,Color,6.7,0.0,20.0,Spectrophotometer
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK141218,14-12-18,12-02-19,14-12-18,10000036630,Refractive index,1.5442,1.54350,1.54450,25oC
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK141218,14-12-18,12-02-19,14-12-18,10000036630,Specific Gravity,0.90623,0.90400,0.90800,20oC
30025-ST,STYRENE MONOMER (ST),RB11,A,TANK141218,14-12-18,12-02-19,14-12-18,10000036630,Water content,0.0163,-999.00000,0.05000,Karl Fishcher
30026-MMA,Methyl Methacrylate (MMA),RB11,A,1590828,08-12-18,08-03-19,11-12-18,10000036419,Color,3.3,0.0,15.0,Spectrophotometer
30026-MMA,Methyl Methacrylate (MMA),RB11,A,1590828,08-12-18,08-03-19,11-12-18,10000036419,Refractive index,1.4122,1.41150,1.41250,25oC
30026-MMA,Methyl Methacrylate (MMA),RB11,A,1590828,08-12-18,08-03-19,11-12-18,10000036419,Specific Gravity,0.94338,0.94200,0.94600,20oC
30026-MMA,Methyl Methacrylate (MMA),RB11,A,1590828,08-12-18,08-03-19,11-12-18,10000036419,Water content,0.0345,-999.00000,0.10000,Karl Fishcher
30026-MMA,Methyl Methacrylate (MMA),RB11,A,TANK041218,04-12-18,04-03-19,06-12-18,10000036255,Color,3.5,0.0,15.0,Spectrophotometer
