Sales Organization,Customer,Material,Counter,Customer Name,Customer Part Code,Customer Material Description,Master insp.charac.,Short text,Unit of measurement,Upper Limit,Lower Limit,Qualitative MIC Specifications,Method,Specification Print,Created by,Created on,Time,Changed by,Changed on,Time of change,Deletion Indicator,Update Flag,Valid from,Valid to,Created by Prog.,Changed by Program
RB00,BG00013090,ENFP64600-DR000200,5,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQN0043,Non Volatile Content,%,61.5,58.5,,JIS K5407,X,MNT_9326,27-02-15,11:16:49 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENGAL9009-DR000100,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQN0013,pH,,9.50,7.00,,"30oC,pH Meter",X,MNT_9326,27-02-15,11:11:39 AM,RB_UQ004,27-04-16,12:06:36 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENGAL9009-DR000100,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQN0019,Viscosity,cP,,,<100.0,"30oC,Viscometer",X,MNT_9326,27-02-15,11:11:39 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENGAL9009-DR000100,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQN0008,Non Volatile Content,%,50.0,48.0,,1.5g./150oC/30min,X,MNT_9326,27-02-15,11:11:39 AM,RB_UQ004,27-04-16,12:06:36 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENGAL9009-DR000100,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Milky White Liquid,Visual Check,X,MNT_9326,27-02-15,11:11:40 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENGAL9009-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQN0013,pH,,9.50,7.00,,"30oC,pH Meter",X,RB_ZQ018,25-01-18,9:36:52 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENGAL9009-DR000200,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQN0019,Viscosity,cP,,,<100.0,"30oC,Viscometer",X,RB_ZQ018,25-01-18,9:36:52 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENGAL9009-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQN0008,Non Volatile Content,%,50.0,48.0,,1.5g./150oC/30min,X,RB_ZQ018,25-01-18,9:36:52 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENGAL9009-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Milky White Liquid,Visual Check,X,RB_ZQ018,25-01-18,9:36:52 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQ17090-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,MNT_9326,27-02-15,11:16:49 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQ17090-DR000200,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0006,Viscosity,,,,U-Y,JIS K5400,X,MNT_9326,27-02-15,11:16:49 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQ17090-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA029,Color,G.No.,,,<3,JIS K5400,X,MNT_9326,27-02-15,11:16:49 AM,RB_SQ014,17-03-15,2:26:04 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENJQ17090-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA025,Acid Value,Km/g,5,3,,JIS K5407,X,MNT_9326,27-02-15,11:16:50 AM,RB_SQ014,17-03-15,2:22:41 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENJQ17090-DR000200,5,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA043,Non Volatile Content,%,62,58,,JIS K5407,X,MNT_9326,27-02-15,11:16:50 AM,RB_SQ014,31-07-15,2:46:17 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENJQ70000-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,MNT_9326,27-02-15,11:16:50 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQ70000-DR000200,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0006,Viscosity,,,,Y-Z1,JIS K5400,X,MNT_9326,27-02-15,11:16:50 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQ70000-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA029,Color,G.No.,,,<3,JIS K5400,X,MNT_9326,27-02-15,11:16:50 AM,RB_UQ004,16-06-15,2:16:06 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENJQ70000-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA025,Acid Value,Km/g,7.0,5.0,,JIS K5407,X,MNT_9326,27-02-15,11:16:51 AM,RB_UQ004,16-06-15,2:16:06 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENJQ70000-DR000200,5,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA043,Non Volatile Content,%,61.5,58.5,,JIS K5407,X,MNT_9326,27-02-15,11:16:51 AM,RB_UQ004,16-06-15,2:16:06 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
